,Airline,Source,Destination,Route,Total_Stops,Additional_Info,Price,day,month,dep_hr,dep_min,arr_hr,arr_min,duration
63,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,7191,15,5,15,0,1,30,0 days 10:30:00
64,Vistara,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3687,24,5,7,5,9,20,0 days 02:15:00
65,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,5894,24,6,10,35,21,0,0 days 10:25:00
66,Vistara,Banglore,Delhi,BLR ? DEL,non-stop,No info,5403,24,4,9,45,12,35,0 days 02:50:00
67,Air India,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,3625,5,6,13,55,15,25,0 days 01:30:00
68,Air India,Delhi,Cochin,DEL ? BHO ? BOM ? COK,2 stops,No info,10861,21,5,5,55,19,15,0 days 13:20:00
69,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,6297,3,12,13,20,15,35,0 days 02:15:00
70,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,5678,6,1,7,5,8,30,0 days 01:25:00
71,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,In-flight meal not included,9134,3,9,5,45,8,15,1 days 02:30:00
72,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10791,24,6,11,40,19,0,0 days 07:20:00
73,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,No info,12819,24,6,23,5,12,35,0 days 13:30:00
74,IndiGo,Delhi,Cochin,DEL ? BLR ? COK,1 stop,No info,6893,21,3,5,5,10,5,0 days 05:00:00
75,Vistara,Banglore,New Delhi,BLR ? DEL,non-stop,No info,7240,3,9,9,50,12,35,0 days 02:45:00
76,GoAir,Banglore,Delhi,BLR ? DEL,non-stop,No info,3898,4,3,11,40,14,30,0 days 02:50:00
77,IndiGo,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,4049,4,3,6,25,7,55,0 days 01:30:00
78,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10262,15,6,17,30,12,35,0 days 19:05:00
79,SpiceJet,Chennai,Kolkata,MAA ? CCU,non-stop,No check-in baggage included,3332,21,3,8,20,10,35,0 days 02:15:00
80,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,10844,6,9,21,10,12,0,0 days 14:50:00
81,Jet Airways,Banglore,New Delhi,BLR ? DEL,non-stop,No info,7229,24,3,19,55,22,35,0 days 02:40:00
82,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,13941,5,6,6,30,4,40,0 days 22:10:00
83,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,5894,27,6,11,25,21,0,0 days 09:35:00
84,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,10197,18,5,9,0,19,0,0 days 10:00:00
85,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,In-flight meal not included,13712,3,6,14,5,11,25,0 days 21:20:00
86,IndiGo,Delhi,Cochin,DEL ? MAA ? COK,1 stop,No info,5636,24,6,2,0,7,25,0 days 05:25:00
87,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,2 stops,No info,13014,6,6,9,40,4,25,0 days 18:45:00
88,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,7064,4,1,8,25,20,45,0 days 12:20:00
89,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,In-flight meal not included,10703,24,5,20,25,14,25,0 days 18:00:00
90,Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,9646,27,5,13,15,22,30,0 days 09:15:00
91,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,17057,3,6,2,15,13,20,0 days 11:05:00
92,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,13817,3,12,16,55,10,25,0 days 17:30:00
93,Air India,Delhi,Cochin,DEL ? BHO ? BOM ? COK,2 stops,No info,13748,3,6,5,55,19,15,0 days 13:20:00
94,Air India,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4880,21,4,20,45,23,20,0 days 02:35:00
95,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3540,21,6,5,15,7,40,0 days 02:25:00
96,SpiceJet,Banglore,Delhi,BLR ? DEL,non-stop,No check-in baggage included,3257,15,5,5,55,8,35,0 days 02:40:00
97,Jet Airways,Banglore,Delhi,BLR ? DEL,non-stop,In-flight meal not included,6478,6,3,19,50,22,50,0 days 03:00:00
98,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,8040,18,6,7,5,8,30,0 days 01:25:00
99,Jet Airways,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,2 stops,No info,14300,6,12,20,0,12,35,0 days 16:35:00
100,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14781,15,5,8,25,20,45,0 days 12:20:00
101,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14939,6,9,20,0,8,15,0 days 12:15:00
102,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10262,24,6,20,55,4,25,0 days 07:30:00
103,Air India,Kolkata,Banglore,CCU ? MAA ? BLR,1 stop,No info,6528,5,12,14,35,14,35,1 days 00:00:00
104,Air India,Banglore,Delhi,BLR ? DEL,non-stop,No info,6121,5,1,6,10,8,55,0 days 02:45:00
105,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,2 stops,In-flight meal not included,13029,18,5,19,30,4,25,0 days 08:55:00
106,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,11421,27,3,11,40,18,50,0 days 07:10:00
107,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,7574,27,3,4,45,19,15,0 days 14:30:00
108,Air India,Delhi,Cochin,DEL ? JDH ? BOM ? COK,2 stops,No info,11596,5,9,12,55,19,15,1 days 06:20:00
109,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,No info,15129,24,5,23,5,19,0,0 days 19:55:00
110,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,13555,18,3,14,5,5,5,0 days 15:00:00
111,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,5780,4,12,18,55,21,50,0 days 02:55:00
112,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,9397,5,12,20,20,9,5,0 days 12:45:00
113,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,17024,3,6,18,15,4,25,0 days 10:10:00
114,GoAir,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,5281,27,6,7,0,12,55,0 days 05:55:00
115,Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,10348,18,5,7,5,22,30,0 days 15:25:00
116,Air India,Delhi,Cochin,DEL ? MAA ? COK,1 stop,No info,12677,3,6,17,20,9,25,0 days 16:05:00
117,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,15147,3,3,15,25,1,35,0 days 10:10:00
118,Vistara,Banglore,Delhi,BLR ? DEL,non-stop,No info,4668,6,12,7,0,9,40,0 days 02:40:00
119,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,15554,5,9,7,5,19,0,0 days 11:55:00
120,SpiceJet,Banglore,Delhi,BLR ? DEL,non-stop,No info,3971,4,9,5,55,8,35,0 days 02:40:00
121,Air India,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,3100,5,3,15,0,16,25,0 days 01:25:00
122,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,9663,5,6,20,0,10,5,0 days 14:05:00
123,Air India,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,27430,3,1,23,0,19,15,0 days 20:15:00
124,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3540,5,12,5,15,7,40,0 days 02:25:00
125,Air India,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,2 stops,No info,10676,21,5,12,0,11,10,0 days 23:10:00
126,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,13044,6,12,14,5,8,15,0 days 18:10:00
127,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14388,5,6,20,0,12,0,0 days 16:00:00
128,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,3943,24,6,4,0,6,50,0 days 02:50:00
129,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3597,6,3,14,45,17,5,0 days 02:20:00
130,Air India,Banglore,New Delhi,BLR ? MAA ? DEL,1 stop,No info,5932,21,3,11,50,19,50,0 days 08:00:00
131,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10262,15,6,11,30,4,25,0 days 16:55:00
132,Vistara,Delhi,Cochin,DEL ? COK,non-stop,No info,6216,5,12,14,40,17,50,0 days 03:10:00
133,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4804,15,6,20,25,23,10,0 days 02:45:00
134,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,14067,21,5,11,30,1,30,0 days 14:00:00
135,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,No info,15129,18,5,19,10,19,0,0 days 23:50:00
136,Jet Airways,Delhi,Cochin,DEL ? NAG ? BOM ? COK,2 stops,No info,13376,6,6,6,45,4,25,0 days 21:40:00
137,Air India,Delhi,Cochin,DEL ? GOI ? BOM ? COK,2 stops,No info,10441,27,6,22,0,19,15,0 days 21:15:00
138,Jet Airways,Banglore,Delhi,BLR ? DEL,non-stop,In-flight meal not included,4030,24,5,6,0,8,45,0 days 02:45:00
139,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,17024,3,3,8,0,18,50,0 days 10:50:00
140,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,13017,4,9,17,30,1,30,0 days 08:00:00
141,GoAir,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,6686,6,6,23,30,7,45,0 days 08:15:00
142,IndiGo,Delhi,Cochin,DEL ? MAA ? COK,1 stop,No info,5636,15,6,2,0,7,25,0 days 05:25:00
143,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,6442,6,9,7,35,16,10,0 days 08:35:00
144,Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,9486,21,5,13,5,0,55,0 days 11:50:00
145,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,10844,21,5,20,0,23,35,1 days 03:35:00
146,Jet Airways,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,2 stops,In-flight meal not included,15318,6,3,20,0,4,25,0 days 08:25:00
147,Air India,Delhi,Cochin,DEL ? MAA ? COK,1 stop,No info,5117,4,3,12,30,9,25,0 days 20:55:00
148,IndiGo,Delhi,Cochin,DEL ? BLR ? COK,1 stop,No info,6147,24,6,15,10,20,0,0 days 04:50:00
149,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,7005,6,9,12,50,21,0,0 days 08:10:00
150,SpiceJet,Kolkata,Banglore,CCU ? BLR,non-stop,No info,3873,4,3,22,20,0,40,0 days 02:20:00
151,Jet Airways,Delhi,Cochin,DEL ? BDQ ? BOM ? COK,2 stops,In-flight meal not included,9270,21,3,18,25,18,50,1 days 00:25:00
152,GoAir,Banglore,Delhi,BLR ? DEL,non-stop,No info,3898,27,6,11,40,14,30,0 days 02:50:00
153,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14781,5,12,8,25,20,45,0 days 12:20:00
154,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,8586,24,5,20,0,8,15,0 days 12:15:00
155,Air India,Kolkata,Banglore,CCU ? JAI ? BOM ? BLR,2 stops,No info,10697,5,9,8,20,7,55,0 days 23:35:00
156,Jet Airways,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,2 stops,No info,14300,27,6,20,0,12,35,0 days 16:35:00
157,IndiGo,Banglore,New Delhi,BLR ? DEL,non-stop,No info,8855,3,3,18,55,21,45,0 days 02:50:00
158,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,10844,5,12,16,30,18,15,1 days 01:45:00
159,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,17024,3,6,2,15,4,25,1 days 02:10:00
160,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,In-flight meal not included,9314,5,1,9,35,14,25,1 days 04:50:00
161,IndiGo,Banglore,New Delhi,BLR ? DEL,non-stop,No info,4777,24,3,0,40,3,25,0 days 02:45:00
162,Air India,Kolkata,Banglore,CCU ? BBI ? BLR,1 stop,No info,7662,6,9,12,0,13,15,1 days 01:15:00
163,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,6442,5,9,6,50,16,10,0 days 09:20:00
164,SpiceJet,Delhi,Cochin,DEL ? PNQ ? COK,1 stop,No info,5264,6,12,8,45,13,15,0 days 04:30:00
165,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,12898,27,5,13,0,4,25,0 days 15:25:00
166,Air India,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,6092,3,3,13,55,15,25,0 days 01:30:00
167,SpiceJet,Banglore,Delhi,BLR ? DEL,non-stop,No info,3311,21,5,5,55,8,35,0 days 02:40:00
168,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,6540,27,3,19,15,4,25,0 days 09:10:00
169,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,3419,27,5,1,30,4,15,0 days 02:45:00
170,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,5177,4,3,14,0,12,35,0 days 22:35:00
171,Air India,Delhi,Cochin,DEL ? COK,non-stop,No info,8246,18,4,18,5,21,10,0 days 03:05:00
172,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,14676,6,9,9,35,21,5,0 days 11:30:00
173,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,13587,27,6,11,30,21,0,0 days 09:30:00
174,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,9663,5,6,21,10,9,20,0 days 12:10:00
175,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,13044,6,12,16,30,10,5,0 days 17:35:00
176,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,5073,4,3,20,25,1,30,0 days 05:05:00
177,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,9345,21,5,17,0,18,50,1 days 01:50:00
178,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,9663,5,6,14,5,10,5,0 days 20:00:00
179,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,14277,21,5,8,0,21,0,0 days 13:00:00
180,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10262,6,1,10,0,4,25,0 days 18:25:00
181,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,5678,27,3,19,35,21,5,0 days 01:30:00
182,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,13727,15,5,16,0,1,30,0 days 09:30:00
183,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,9663,5,6,20,0,12,0,0 days 16:00:00
184,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3858,5,12,14,45,17,5,0 days 02:20:00
185,SpiceJet,Delhi,Cochin,DEL ? PNQ ? COK,1 stop,No info,4812,24,6,8,45,13,15,0 days 04:30:00
186,IndiGo,Delhi,Cochin,DEL ? LKO ? COK,1 stop,No info,5775,27,6,21,50,3,35,0 days 05:45:00
187,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,In-flight meal not included,10539,6,6,9,35,9,45,1 days 00:10:00
188,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4804,6,3,15,30,18,5,0 days 02:35:00
189,Air Asia,Banglore,Delhi,BLR ? DEL,non-stop,No info,3383,6,12,11,10,13,55,0 days 02:45:00
190,IndiGo,Banglore,New Delhi,BLR ? HYD ? DEL,1 stop,No info,8738,3,3,12,10,17,5,0 days 04:55:00
191,Air India,Delhi,Cochin,DEL ? TRV ? COK,1 stop,No info,7165,27,3,5,15,6,50,1 days 01:35:00
192,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,6412,24,6,16,10,22,30,0 days 06:20:00
193,Jet Airways,Banglore,Delhi,BLR ? DEL,non-stop,No info,8016,27,6,18,55,22,0,0 days 03:05:00
194,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,In-flight meal not included,11087,3,12,20,35,15,15,0 days 18:40:00
195,SpiceJet,Chennai,Kolkata,MAA ? CCU,non-stop,No check-in baggage included,3543,27,6,9,45,12,0,0 days 02:15:00
196,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,12471,6,12,16,30,4,40,0 days 12:10:00
197,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10262,24,6,9,0,4,25,0 days 19:25:00
198,Air India,Banglore,New Delhi,BLR ? DEL,non-stop,No info,4441,18,3,13,20,16,10,0 days 02:50:00
199,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,12537,27,3,7,5,15,30,0 days 08:25:00
200,GoAir,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,10091,24,3,22,25,7,40,0 days 09:15:00
201,Air India,Banglore,Delhi,BLR ? DEL,non-stop,No info,6961,6,3,21,5,23,55,0 days 02:50:00
202,IndiGo,Delhi,Cochin,DEL ? COK,non-stop,No info,5013,24,4,5,35,8,50,0 days 03:15:00
203,Air India,Delhi,Cochin,DEL ? COK,non-stop,No info,6934,18,5,5,10,8,0,0 days 02:50:00
204,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,10877,6,3,6,40,19,0,0 days 12:20:00
205,Jet Airways,Banglore,Delhi,BLR ? DEL,non-stop,No info,7229,18,4,15,15,18,10,0 days 02:55:00
206,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,7048,27,3,16,0,1,35,0 days 09:35:00
207,Vistara,Banglore,Delhi,BLR ? DEL,non-stop,No info,4878,27,6,17,0,19,35,0 days 02:35:00
208,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,10844,21,5,14,5,23,35,0 days 09:30:00
209,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,No info,15129,18,5,23,5,4,25,1 days 05:20:00
210,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,3943,5,12,0,30,3,25,0 days 02:55:00
